run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,2.8260,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T222318Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260710T222300Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260710T222300Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,0.4880,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T222431Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260710T222414Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260710T222414Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.2380,1,1,8.059,20.662,8.18,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T222545Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260710T222528Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260710T222528Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,1.4420,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T222647Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260710T222629Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260710T222629Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,2.0630,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T222801Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260710T222744Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260710T222744Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,0.3900,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T222919Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260710T222902Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260710T222902Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.9700,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T223038Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260710T223020Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260710T223020Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,0.6440,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T223155Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260710T223137Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260710T223137Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,2.3160,1,1,7.713,25.696,7.60,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T223315Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260710T223257Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260710T223257Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,0.5440,0,1,8.307,26.918,8.31,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T223419Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260710T223402Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260710T223402Z.log,weave,standard,435173
10,pronav,0.000,12.000,-29.165,231149,1.6950,0,1,9.151,25.739,9.15,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T223525Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260710T223507Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260710T223507Z.log,weave,standard,728420
11,pronav,0.000,-12.000,29.148,291705,0.5740,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T223630Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260710T223612Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260710T223612Z.log,weave,standard,544317
12,pronav,0.000,12.000,-28.372,6815,2.7360,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T223747Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260710T223730Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260710T223730Z.log,weave,standard,91499
13,pronav,0.000,-12.000,30.076,167415,0.6320,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T223905Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260710T223848Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260710T223848Z.log,weave,standard,289338
14,pronav,0.000,12.000,-28.706,356779,2.6870,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T224023Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260710T224006Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260710T224006Z.log,weave,standard,118488
15,pronav,0.000,-12.000,28.634,225773,0.6190,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T224142Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260710T224124Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260710T224124Z.log,weave,standard,377930
