run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,2.9460,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T174051Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260710T174034Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260710T174034Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,0.7240,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T174210Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260710T174152Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260710T174152Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.1580,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T174326Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260710T174308Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260710T174308Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,1.2970,1,1,6.922,26.501,8.71,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T174446Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260710T174428Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260710T174428Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,2.6100,1,1,4.060,25.503,11.49,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T174554Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260710T174536Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260710T174536Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,0.5900,0,1,9.999,28.118,10.19,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T174716Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260710T174658Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260710T174658Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.9950,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T174848Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260710T174831Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260710T174831Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,1.0980,1,1,9.473,27.940,9.82,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T175009Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260710T174951Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260710T174951Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,2.4770,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T175116Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260710T175058Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260710T175058Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,0.7440,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T175234Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260710T175216Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260710T175216Z.log,weave,standard,435173
10,pronav,0.000,12.000,-29.165,231149,1.9570,0,0,,,20.88,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T175354Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260710T175337Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260710T175337Z.log,weave,standard,728420
11,pronav,0.000,-12.000,29.148,291705,0.4230,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T175511Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260710T175453Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260710T175453Z.log,weave,standard,544317
12,pronav,0.000,12.000,-28.372,6815,2.5920,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T175630Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260710T175612Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260710T175612Z.log,weave,standard,91499
13,pronav,0.000,-12.000,30.076,167415,0.5210,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T175747Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260710T175729Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260710T175729Z.log,weave,standard,289338
14,pronav,0.000,12.000,-28.706,356779,2.7480,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T175905Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260710T175847Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260710T175847Z.log,weave,standard,118488
15,pronav,0.000,-12.000,28.634,225773,1.2200,0,0,,,12.09,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T180024Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260710T180006Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260710T180006Z.log,weave,standard,377930
