run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,nan,0,,,,,,python_exit_2,,pronav_12.000,l2r,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260709T230759Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260709T230759Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,nan,0,,,,,,python_exit_2,,pronav_12.000,r2l,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260709T230824Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260709T230824Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,nan,0,,,,,,python_exit_2,,pronav_12.000,l2r,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260709T230849Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260709T230849Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,nan,0,,,,,,python_exit_2,,pronav_12.000,r2l,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260709T230914Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260709T230914Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,nan,0,,,,,,python_exit_2,,pronav_12.000,l2r,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260709T230939Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260709T230939Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,nan,0,,,,,,python_exit_2,,pronav_12.000,r2l,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260709T231004Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260709T231004Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,nan,0,,,,,,python_exit_2,,pronav_12.000,l2r,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260709T231028Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260709T231028Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,nan,0,,,,,,python_exit_2,,pronav_12.000,r2l,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260709T231053Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260709T231053Z.log,weave,standard,325326
8,pronav,0.000,12.000,-30.720,208497,nan,0,,,,,,python_exit_2,,pronav_12.000,l2r,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260709T231118Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260709T231118Z.log,weave,standard,343059
9,pronav,0.000,-12.000,29.948,735393,nan,0,,,,,,python_exit_2,,pronav_12.000,r2l,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260709T231143Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260709T231143Z.log,weave,standard,435173
10,pronav,0.000,12.000,-29.165,231149,nan,0,,,,,,python_exit_2,,pronav_12.000,l2r,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260709T231208Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260709T231208Z.log,weave,standard,728420
11,pronav,0.000,-12.000,29.148,291705,nan,0,,,,,,python_exit_2,,pronav_12.000,r2l,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_11_20260709T231233Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_11_20260709T231233Z.log,weave,standard,544317
12,pronav,0.000,12.000,-28.372,6815,nan,0,,,,,,python_exit_2,,pronav_12.000,l2r,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_12_20260709T231257Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_12_20260709T231257Z.log,weave,standard,91499
13,pronav,0.000,-12.000,30.076,167415,nan,0,,,,,,python_exit_2,,pronav_12.000,r2l,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_13_20260709T231322Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_13_20260709T231322Z.log,weave,standard,289338
14,pronav,0.000,12.000,-28.706,356779,nan,0,,,,,,python_exit_2,,pronav_12.000,l2r,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_14_20260709T231347Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_14_20260709T231347Z.log,weave,standard,118488
15,pronav,0.000,-12.000,28.634,225773,nan,0,,,,,,python_exit_2,,pronav_12.000,r2l,6.500,2,/home/emerson/interceptor-sim/logs/mc_batch_sim_15_20260709T231412Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_15_20260709T231412Z.log,weave,standard,377930
